timestamp,detection_count,class,confidence,bbox,total_time,yolo_inference_time
2025-11-23 15:34:26,1,cat,0.945,"[121.82, 29.903, 265.197, 204.093]",0.057,0.018
2025-11-23 15:40:03,1,cat,0.942,"[121.81, 29.971, 265.406, 204.099]",0.982,0.933
